235, 470
increase 775 2
increase 776 2
increase 777 2
increase 778 2
increase 779 2
increase 780 2
increase 781 2
increase 782 2
increase 783 2
increase 784 2
increase 785 2
increase 786 2
increase 787 2
increase 788 2
increase 789 2
increase 790 2
increase 791 2
increase 792 2
increase 793 2
increase 794 2
increase 795 2
increase 796 2
increase 797 2
increase 798 2
increase 799 2
increase 800 2
increase 801 2
increase 802 2
increase 803 2
increase 804 2
increase 805 2
increase 806 2
increase 807 2
increase 808 2
increase 809 2
increase 810 2
increase 811 2
increase 812 2
increase 813 2
increase 814 2
increase 815 2
increase 816 2
increase 817 2
increase 818 2
increase 819 2
increase 820 2
increase 821 2
increase 822 2
increase 823 2
increase 824 2
increase 825 2
increase 826 2
increase 827 2
increase 828 2
increase 829 2
increase 830 2
increase 831 2
increase 832 2
increase 833 2
increase 834 2
increase 835 2
increase 836 2
increase 837 2
increase 838 2
increase 839 2
increase 840 2
increase 841 2
increase 842 2
increase 843 2
increase 844 2
increase 845 2
increase 846 2
increase 847 2
increase 848 2
increase 849 2
increase 850 2
increase 851 2
increase 852 2
increase 853 2
increase 854 2
increase 855 2
increase 856 2
increase 857 2
increase 858 2
increase 859 2
increase 860 2
increase 861 2
increase 862 2
increase 863 2
increase 864 2
increase 865 2
increase 866 2
increase 867 2
increase 868 2
increase 869 2
increase 870 2
increase 871 2
increase 872 2
increase 873 2
increase 874 2
increase 875 2
increase 876 2
increase 877 2
increase 878 2
increase 879 2
increase 880 2
increase 881 2
increase 882 2
increase 883 2
increase 884 2
increase 885 2
increase 886 2
increase 887 2
increase 888 2
increase 889 2
increase 890 2
increase 891 2
increase 892 2
increase 893 2
increase 894 2
increase 895 2
increase 896 2
increase 897 2
increase 898 2
increase 899 2
increase 900 2
increase 901 2
increase 902 2
increase 903 2
increase 904 2
increase 905 2
increase 906 2
increase 907 2
increase 908 2
increase 909 2
increase 910 2
increase 911 2
increase 912 2
increase 913 2
increase 914 2
increase 915 2
increase 916 2
increase 917 2
increase 918 2
increase 919 2
increase 920 2
increase 921 2
increase 922 2
increase 923 2
increase 924 2
increase 925 2
increase 926 2
increase 927 2
increase 928 2
increase 929 2
increase 930 2
increase 931 2
increase 932 2
increase 933 2
increase 934 2
increase 935 2
increase 936 2
increase 937 2
increase 938 2
increase 939 2
increase 940 2
increase 941 2
increase 942 2
increase 943 2
increase 944 2
increase 945 2
increase 946 2
increase 947 2
increase 948 2
increase 949 2
increase 950 2
increase 951 2
increase 952 2
increase 953 2
increase 954 2
increase 955 2
increase 956 2
increase 957 2
increase 958 2
increase 959 2
increase 960 2
increase 961 2
increase 962 2
increase 963 2
increase 964 2
increase 965 2
increase 966 2
increase 967 2
increase 968 2
increase 969 2
increase 970 2
increase 971 2
increase 972 2
increase 973 2
increase 974 2
increase 975 2
increase 976 2
increase 977 2
increase 978 2
increase 979 2
increase 980 2
increase 981 2
increase 982 2
increase 983 2
increase 984 2
increase 985 2
increase 986 2
increase 987 2
increase 988 2
increase 989 2
increase 990 2
increase 991 2
increase 992 2
increase 993 2
increase 994 2
increase 995 2
increase 996 2
increase 997 2
increase 998 2
increase 999 2
increase 1000 2
increase 1001 2
increase 1002 2
increase 1003 2
increase 1004 2
increase 1005 2
increase 1006 2
increase 1007 2
increase 1008 2
increase 1009 2
