143, 626
square 22 116
decrease 484 2
decrease 483 2
decrease 482 2
decrease 481 2
decrease 480 2
decrease 479 2
decrease 478 2
decrease 477 2
decrease 476 2
decrease 475 2
decrease 474 2
decrease 473 2
decrease 472 2
decrease 471 2
decrease 470 2
decrease 469 2
decrease 468 2
decrease 467 2
decrease 466 2
decrease 465 2
decrease 464 2
decrease 463 2
decrease 462 2
decrease 461 2
decrease 460 2
decrease 459 2
decrease 458 2
decrease 457 2
decrease 456 2
double 455 228
decrease 910 2
decrease 909 2
decrease 908 2
decrease 907 2
decrease 906 2
decrease 905 2
decrease 904 2
decrease 903 2
decrease 902 2
decrease 901 2
decrease 900 2
decrease 899 2
decrease 898 2
decrease 897 2
decrease 896 2
decrease 895 2
decrease 894 2
decrease 893 2
decrease 892 2
decrease 891 2
decrease 890 2
decrease 889 2
decrease 888 2
decrease 887 2
decrease 886 2
decrease 885 2
decrease 884 2
decrease 883 2
decrease 882 2
decrease 881 2
decrease 880 2
decrease 879 2
decrease 878 2
decrease 877 2
decrease 876 2
decrease 875 2
decrease 874 2
decrease 873 2
decrease 872 2
decrease 871 2
decrease 870 2
decrease 869 2
decrease 868 2
decrease 867 2
decrease 866 2
decrease 865 2
decrease 864 2
decrease 863 2
decrease 862 2
decrease 861 2
decrease 860 2
decrease 859 2
decrease 858 2
decrease 857 2
decrease 856 2
decrease 855 2
decrease 854 2
decrease 853 2
decrease 852 2
decrease 851 2
decrease 850 2
decrease 849 2
decrease 848 2
decrease 847 2
decrease 846 2
decrease 845 2
decrease 844 2
decrease 843 2
decrease 842 2
decrease 841 2
decrease 840 2
decrease 839 2
decrease 838 2
decrease 837 2
decrease 836 2
decrease 835 2
decrease 834 2
decrease 833 2
decrease 832 2
decrease 831 2
decrease 830 2
decrease 829 2
decrease 828 2
decrease 827 2
decrease 826 2
decrease 825 2
decrease 824 2
decrease 823 2
decrease 822 2
decrease 821 2
decrease 820 2
decrease 819 2
decrease 818 2
decrease 817 2
decrease 816 2
decrease 815 2
decrease 814 2
decrease 813 2
decrease 812 2
decrease 811 2
decrease 810 2
decrease 809 2
decrease 808 2
decrease 807 2
decrease 806 2
decrease 805 2
decrease 804 2
decrease 803 2
decrease 802 2
decrease 801 2
decrease 800 2
decrease 799 2
