742, 1484
increase 257 2
increase 258 2
increase 259 2
increase 260 2
increase 261 2
increase 262 2
increase 263 2
increase 264 2
increase 265 2
increase 266 2
increase 267 2
increase 268 2
increase 269 2
increase 270 2
increase 271 2
increase 272 2
increase 273 2
increase 274 2
increase 275 2
increase 276 2
increase 277 2
increase 278 2
increase 279 2
increase 280 2
increase 281 2
increase 282 2
increase 283 2
increase 284 2
increase 285 2
increase 286 2
increase 287 2
increase 288 2
increase 289 2
increase 290 2
increase 291 2
increase 292 2
increase 293 2
increase 294 2
increase 295 2
increase 296 2
increase 297 2
increase 298 2
increase 299 2
increase 300 2
increase 301 2
increase 302 2
increase 303 2
increase 304 2
increase 305 2
increase 306 2
increase 307 2
increase 308 2
increase 309 2
increase 310 2
increase 311 2
increase 312 2
increase 313 2
increase 314 2
increase 315 2
increase 316 2
increase 317 2
increase 318 2
increase 319 2
increase 320 2
increase 321 2
increase 322 2
increase 323 2
increase 324 2
increase 325 2
increase 326 2
increase 327 2
increase 328 2
increase 329 2
increase 330 2
increase 331 2
increase 332 2
increase 333 2
increase 334 2
increase 335 2
increase 336 2
increase 337 2
increase 338 2
increase 339 2
increase 340 2
increase 341 2
increase 342 2
increase 343 2
increase 344 2
increase 345 2
increase 346 2
increase 347 2
increase 348 2
increase 349 2
increase 350 2
increase 351 2
increase 352 2
increase 353 2
increase 354 2
increase 355 2
increase 356 2
increase 357 2
increase 358 2
increase 359 2
increase 360 2
increase 361 2
increase 362 2
increase 363 2
increase 364 2
increase 365 2
increase 366 2
increase 367 2
increase 368 2
increase 369 2
increase 370 2
increase 371 2
increase 372 2
increase 373 2
increase 374 2
increase 375 2
increase 376 2
increase 377 2
increase 378 2
increase 379 2
increase 380 2
increase 381 2
increase 382 2
increase 383 2
increase 384 2
increase 385 2
increase 386 2
increase 387 2
increase 388 2
increase 389 2
increase 390 2
increase 391 2
increase 392 2
increase 393 2
increase 394 2
increase 395 2
increase 396 2
increase 397 2
increase 398 2
increase 399 2
increase 400 2
increase 401 2
increase 402 2
increase 403 2
increase 404 2
increase 405 2
increase 406 2
increase 407 2
increase 408 2
increase 409 2
increase 410 2
increase 411 2
increase 412 2
increase 413 2
increase 414 2
increase 415 2
increase 416 2
increase 417 2
increase 418 2
increase 419 2
increase 420 2
increase 421 2
increase 422 2
increase 423 2
increase 424 2
increase 425 2
increase 426 2
increase 427 2
increase 428 2
increase 429 2
increase 430 2
increase 431 2
increase 432 2
increase 433 2
increase 434 2
increase 435 2
increase 436 2
increase 437 2
increase 438 2
increase 439 2
increase 440 2
increase 441 2
increase 442 2
increase 443 2
increase 444 2
increase 445 2
increase 446 2
increase 447 2
increase 448 2
increase 449 2
increase 450 2
increase 451 2
increase 452 2
increase 453 2
increase 454 2
increase 455 2
increase 456 2
increase 457 2
increase 458 2
increase 459 2
increase 460 2
increase 461 2
increase 462 2
increase 463 2
increase 464 2
increase 465 2
increase 466 2
increase 467 2
increase 468 2
increase 469 2
increase 470 2
increase 471 2
increase 472 2
increase 473 2
increase 474 2
increase 475 2
increase 476 2
increase 477 2
increase 478 2
increase 479 2
increase 480 2
increase 481 2
increase 482 2
increase 483 2
increase 484 2
increase 485 2
increase 486 2
increase 487 2
increase 488 2
increase 489 2
increase 490 2
increase 491 2
increase 492 2
increase 493 2
increase 494 2
increase 495 2
increase 496 2
increase 497 2
increase 498 2
increase 499 2
increase 500 2
increase 501 2
increase 502 2
increase 503 2
increase 504 2
increase 505 2
increase 506 2
increase 507 2
increase 508 2
increase 509 2
increase 510 2
increase 511 2
increase 512 2
increase 513 2
increase 514 2
increase 515 2
increase 516 2
increase 517 2
increase 518 2
increase 519 2
increase 520 2
increase 521 2
increase 522 2
increase 523 2
increase 524 2
increase 525 2
increase 526 2
increase 527 2
increase 528 2
increase 529 2
increase 530 2
increase 531 2
increase 532 2
increase 533 2
increase 534 2
increase 535 2
increase 536 2
increase 537 2
increase 538 2
increase 539 2
increase 540 2
increase 541 2
increase 542 2
increase 543 2
increase 544 2
increase 545 2
increase 546 2
increase 547 2
increase 548 2
increase 549 2
increase 550 2
increase 551 2
increase 552 2
increase 553 2
increase 554 2
increase 555 2
increase 556 2
increase 557 2
increase 558 2
increase 559 2
increase 560 2
increase 561 2
increase 562 2
increase 563 2
increase 564 2
increase 565 2
increase 566 2
increase 567 2
increase 568 2
increase 569 2
increase 570 2
increase 571 2
increase 572 2
increase 573 2
increase 574 2
increase 575 2
increase 576 2
increase 577 2
increase 578 2
increase 579 2
increase 580 2
increase 581 2
increase 582 2
increase 583 2
increase 584 2
increase 585 2
increase 586 2
increase 587 2
increase 588 2
increase 589 2
increase 590 2
increase 591 2
increase 592 2
