138, 276
increase 480 2
decrease 481 2
decrease 480 2
decrease 479 2
decrease 478 2
decrease 477 2
decrease 476 2
decrease 475 2
decrease 474 2
decrease 473 2
decrease 472 2
decrease 471 2
decrease 470 2
decrease 469 2
decrease 468 2
decrease 467 2
decrease 466 2
decrease 465 2
decrease 464 2
decrease 463 2
decrease 462 2
decrease 461 2
decrease 460 2
decrease 459 2
decrease 458 2
decrease 457 2
decrease 456 2
decrease 455 2
decrease 454 2
decrease 453 2
decrease 452 2
decrease 451 2
decrease 450 2
decrease 449 2
decrease 448 2
decrease 447 2
decrease 446 2
decrease 445 2
decrease 444 2
decrease 443 2
decrease 442 2
decrease 441 2
decrease 440 2
decrease 439 2
decrease 438 2
decrease 437 2
decrease 436 2
decrease 435 2
decrease 434 2
decrease 433 2
decrease 432 2
decrease 431 2
decrease 430 2
decrease 429 2
decrease 428 2
decrease 427 2
decrease 426 2
decrease 425 2
decrease 424 2
decrease 423 2
decrease 422 2
decrease 421 2
decrease 420 2
decrease 419 2
decrease 418 2
decrease 417 2
decrease 416 2
decrease 415 2
decrease 414 2
decrease 413 2
decrease 412 2
decrease 411 2
decrease 410 2
decrease 409 2
decrease 408 2
decrease 407 2
decrease 406 2
decrease 405 2
decrease 404 2
decrease 403 2
decrease 402 2
decrease 401 2
decrease 400 2
decrease 399 2
decrease 398 2
decrease 397 2
decrease 396 2
decrease 395 2
decrease 394 2
decrease 393 2
decrease 392 2
decrease 391 2
decrease 390 2
decrease 389 2
decrease 388 2
decrease 387 2
decrease 386 2
decrease 385 2
decrease 384 2
decrease 383 2
decrease 382 2
decrease 381 2
decrease 380 2
decrease 379 2
decrease 378 2
decrease 377 2
decrease 376 2
decrease 375 2
decrease 374 2
decrease 373 2
decrease 372 2
decrease 371 2
decrease 370 2
decrease 369 2
decrease 368 2
decrease 367 2
decrease 366 2
decrease 365 2
decrease 364 2
decrease 363 2
decrease 362 2
decrease 361 2
decrease 360 2
decrease 359 2
decrease 358 2
decrease 357 2
decrease 356 2
decrease 355 2
decrease 354 2
decrease 353 2
decrease 352 2
decrease 351 2
decrease 350 2
decrease 349 2
decrease 348 2
decrease 347 2
decrease 346 2
decrease 345 2
