751, 1502
increase 991 2
decrease 992 2
decrease 991 2
decrease 990 2
decrease 989 2
decrease 988 2
decrease 987 2
decrease 986 2
decrease 985 2
decrease 984 2
decrease 983 2
decrease 982 2
decrease 981 2
decrease 980 2
decrease 979 2
decrease 978 2
decrease 977 2
decrease 976 2
decrease 975 2
decrease 974 2
decrease 973 2
decrease 972 2
decrease 971 2
decrease 970 2
decrease 969 2
decrease 968 2
decrease 967 2
decrease 966 2
decrease 965 2
decrease 964 2
decrease 963 2
decrease 962 2
decrease 961 2
decrease 960 2
decrease 959 2
decrease 958 2
decrease 957 2
decrease 956 2
decrease 955 2
decrease 954 2
decrease 953 2
decrease 952 2
decrease 951 2
decrease 950 2
decrease 949 2
decrease 948 2
decrease 947 2
decrease 946 2
decrease 945 2
decrease 944 2
decrease 943 2
decrease 942 2
decrease 941 2
decrease 940 2
decrease 939 2
decrease 938 2
decrease 937 2
decrease 936 2
decrease 935 2
decrease 934 2
decrease 933 2
decrease 932 2
decrease 931 2
decrease 930 2
decrease 929 2
decrease 928 2
decrease 927 2
decrease 926 2
decrease 925 2
decrease 924 2
decrease 923 2
decrease 922 2
decrease 921 2
decrease 920 2
decrease 919 2
decrease 918 2
decrease 917 2
decrease 916 2
decrease 915 2
decrease 914 2
decrease 913 2
decrease 912 2
decrease 911 2
decrease 910 2
decrease 909 2
decrease 908 2
decrease 907 2
decrease 906 2
decrease 905 2
decrease 904 2
decrease 903 2
decrease 902 2
decrease 901 2
decrease 900 2
decrease 899 2
decrease 898 2
decrease 897 2
decrease 896 2
decrease 895 2
decrease 894 2
decrease 893 2
decrease 892 2
decrease 891 2
decrease 890 2
decrease 889 2
decrease 888 2
decrease 887 2
decrease 886 2
decrease 885 2
decrease 884 2
decrease 883 2
decrease 882 2
decrease 881 2
decrease 880 2
decrease 879 2
decrease 878 2
decrease 877 2
decrease 876 2
decrease 875 2
decrease 874 2
decrease 873 2
decrease 872 2
decrease 871 2
decrease 870 2
decrease 869 2
decrease 868 2
decrease 867 2
decrease 866 2
decrease 865 2
decrease 864 2
decrease 863 2
decrease 862 2
decrease 861 2
decrease 860 2
decrease 859 2
decrease 858 2
decrease 857 2
decrease 856 2
decrease 855 2
decrease 854 2
decrease 853 2
decrease 852 2
decrease 851 2
decrease 850 2
decrease 849 2
decrease 848 2
decrease 847 2
decrease 846 2
decrease 845 2
decrease 844 2
decrease 843 2
decrease 842 2
decrease 841 2
decrease 840 2
decrease 839 2
decrease 838 2
decrease 837 2
decrease 836 2
decrease 835 2
decrease 834 2
decrease 833 2
decrease 832 2
decrease 831 2
decrease 830 2
decrease 829 2
decrease 828 2
decrease 827 2
decrease 826 2
decrease 825 2
decrease 824 2
decrease 823 2
decrease 822 2
decrease 821 2
decrease 820 2
decrease 819 2
decrease 818 2
decrease 817 2
decrease 816 2
decrease 815 2
decrease 814 2
decrease 813 2
decrease 812 2
decrease 811 2
decrease 810 2
decrease 809 2
decrease 808 2
decrease 807 2
decrease 806 2
decrease 805 2
decrease 804 2
decrease 803 2
decrease 802 2
decrease 801 2
decrease 800 2
decrease 799 2
decrease 798 2
decrease 797 2
decrease 796 2
decrease 795 2
decrease 794 2
decrease 793 2
decrease 792 2
decrease 791 2
decrease 790 2
decrease 789 2
decrease 788 2
decrease 787 2
decrease 786 2
decrease 785 2
decrease 784 2
decrease 783 2
decrease 782 2
decrease 781 2
decrease 780 2
decrease 779 2
decrease 778 2
decrease 777 2
decrease 776 2
decrease 775 2
decrease 774 2
decrease 773 2
decrease 772 2
decrease 771 2
decrease 770 2
decrease 769 2
decrease 768 2
decrease 767 2
decrease 766 2
decrease 765 2
decrease 764 2
decrease 763 2
decrease 762 2
decrease 761 2
decrease 760 2
decrease 759 2
decrease 758 2
decrease 757 2
decrease 756 2
decrease 755 2
decrease 754 2
decrease 753 2
decrease 752 2
decrease 751 2
decrease 750 2
decrease 749 2
decrease 748 2
decrease 747 2
decrease 746 2
decrease 745 2
decrease 744 2
decrease 743 2
decrease 742 2
decrease 741 2
decrease 740 2
decrease 739 2
decrease 738 2
decrease 737 2
decrease 736 2
decrease 735 2
decrease 734 2
decrease 733 2
decrease 732 2
decrease 731 2
decrease 730 2
decrease 729 2
decrease 728 2
decrease 727 2
decrease 726 2
decrease 725 2
decrease 724 2
decrease 723 2
decrease 722 2
decrease 721 2
decrease 720 2
decrease 719 2
decrease 718 2
decrease 717 2
decrease 716 2
decrease 715 2
decrease 714 2
decrease 713 2
decrease 712 2
decrease 711 2
decrease 710 2
decrease 709 2
decrease 708 2
decrease 707 2
decrease 706 2
decrease 705 2
decrease 704 2
decrease 703 2
decrease 702 2
decrease 701 2
decrease 700 2
decrease 699 2
decrease 698 2
decrease 697 2
decrease 696 2
decrease 695 2
decrease 694 2
decrease 693 2
decrease 692 2
decrease 691 2
decrease 690 2
decrease 689 2
decrease 688 2
decrease 687 2
decrease 686 2
decrease 685 2
decrease 684 2
decrease 683 2
decrease 682 2
decrease 681 2
decrease 680 2
decrease 679 2
decrease 678 2
decrease 677 2
decrease 676 2
decrease 675 2
decrease 674 2
decrease 673 2
decrease 672 2
decrease 671 2
decrease 670 2
decrease 669 2
decrease 668 2
decrease 667 2
decrease 666 2
decrease 665 2
decrease 664 2
decrease 663 2
decrease 662 2
decrease 661 2
decrease 660 2
decrease 659 2
decrease 658 2
decrease 657 2
