776, 1552
increase 342 2
increase 343 2
increase 344 2
increase 345 2
increase 346 2
increase 347 2
increase 348 2
increase 349 2
increase 350 2
increase 351 2
increase 352 2
increase 353 2
increase 354 2
increase 355 2
increase 356 2
increase 357 2
increase 358 2
increase 359 2
increase 360 2
increase 361 2
increase 362 2
increase 363 2
increase 364 2
increase 365 2
increase 366 2
increase 367 2
increase 368 2
increase 369 2
increase 370 2
increase 371 2
increase 372 2
increase 373 2
increase 374 2
increase 375 2
increase 376 2
increase 377 2
increase 378 2
increase 379 2
increase 380 2
increase 381 2
increase 382 2
increase 383 2
increase 384 2
increase 385 2
increase 386 2
increase 387 2
increase 388 2
increase 389 2
increase 390 2
increase 391 2
increase 392 2
increase 393 2
increase 394 2
increase 395 2
increase 396 2
increase 397 2
increase 398 2
increase 399 2
increase 400 2
increase 401 2
increase 402 2
increase 403 2
increase 404 2
increase 405 2
increase 406 2
increase 407 2
increase 408 2
increase 409 2
increase 410 2
increase 411 2
increase 412 2
increase 413 2
increase 414 2
increase 415 2
increase 416 2
increase 417 2
increase 418 2
increase 419 2
increase 420 2
increase 421 2
increase 422 2
increase 423 2
increase 424 2
increase 425 2
increase 426 2
increase 427 2
increase 428 2
increase 429 2
increase 430 2
increase 431 2
increase 432 2
increase 433 2
increase 434 2
increase 435 2
increase 436 2
increase 437 2
increase 438 2
increase 439 2
increase 440 2
increase 441 2
increase 442 2
increase 443 2
increase 444 2
increase 445 2
increase 446 2
increase 447 2
increase 448 2
increase 449 2
increase 450 2
increase 451 2
increase 452 2
increase 453 2
increase 454 2
increase 455 2
increase 456 2
increase 457 2
increase 458 2
increase 459 2
increase 460 2
increase 461 2
increase 462 2
increase 463 2
increase 464 2
increase 465 2
increase 466 2
increase 467 2
increase 468 2
increase 469 2
increase 470 2
increase 471 2
increase 472 2
increase 473 2
increase 474 2
increase 475 2
increase 476 2
increase 477 2
increase 478 2
increase 479 2
increase 480 2
increase 481 2
increase 482 2
increase 483 2
increase 484 2
increase 485 2
increase 486 2
increase 487 2
increase 488 2
increase 489 2
increase 490 2
increase 491 2
increase 492 2
increase 493 2
increase 494 2
increase 495 2
increase 496 2
increase 497 2
increase 498 2
increase 499 2
increase 500 2
increase 501 2
increase 502 2
increase 503 2
increase 504 2
increase 505 2
increase 506 2
increase 507 2
increase 508 2
increase 509 2
increase 510 2
increase 511 2
increase 512 2
increase 513 2
increase 514 2
increase 515 2
increase 516 2
increase 517 2
increase 518 2
increase 519 2
increase 520 2
increase 521 2
increase 522 2
increase 523 2
increase 524 2
increase 525 2
increase 526 2
increase 527 2
increase 528 2
increase 529 2
increase 530 2
increase 531 2
increase 532 2
increase 533 2
increase 534 2
increase 535 2
increase 536 2
increase 537 2
increase 538 2
increase 539 2
increase 540 2
increase 541 2
increase 542 2
increase 543 2
increase 544 2
increase 545 2
increase 546 2
increase 547 2
increase 548 2
increase 549 2
increase 550 2
increase 551 2
increase 552 2
increase 553 2
increase 554 2
increase 555 2
increase 556 2
increase 557 2
increase 558 2
increase 559 2
increase 560 2
increase 561 2
increase 562 2
increase 563 2
increase 564 2
increase 565 2
increase 566 2
increase 567 2
increase 568 2
increase 569 2
increase 570 2
increase 571 2
increase 572 2
increase 573 2
increase 574 2
increase 575 2
increase 576 2
increase 577 2
increase 578 2
increase 579 2
increase 580 2
increase 581 2
increase 582 2
increase 583 2
increase 584 2
increase 585 2
increase 586 2
increase 587 2
increase 588 2
increase 589 2
increase 590 2
increase 591 2
increase 592 2
increase 593 2
increase 594 2
increase 595 2
increase 596 2
increase 597 2
increase 598 2
increase 599 2
increase 600 2
increase 601 2
increase 602 2
increase 603 2
increase 604 2
increase 605 2
increase 606 2
increase 607 2
increase 608 2
increase 609 2
increase 610 2
increase 611 2
increase 612 2
increase 613 2
increase 614 2
increase 615 2
increase 616 2
increase 617 2
increase 618 2
increase 619 2
increase 620 2
increase 621 2
increase 622 2
increase 623 2
increase 624 2
increase 625 2
increase 626 2
increase 627 2
increase 628 2
increase 629 2
increase 630 2
increase 631 2
increase 632 2
increase 633 2
increase 634 2
increase 635 2
increase 636 2
increase 637 2
increase 638 2
increase 639 2
increase 640 2
increase 641 2
increase 642 2
increase 643 2
increase 644 2
increase 645 2
increase 646 2
increase 647 2
increase 648 2
increase 649 2
increase 650 2
increase 651 2
increase 652 2
increase 653 2
increase 654 2
increase 655 2
increase 656 2
increase 657 2
increase 658 2
increase 659 2
increase 660 2
increase 661 2
increase 662 2
increase 663 2
increase 664 2
increase 665 2
increase 666 2
increase 667 2
increase 668 2
increase 669 2
increase 670 2
increase 671 2
increase 672 2
increase 673 2
increase 674 2
increase 675 2
increase 676 2
increase 677 2
increase 678 2
increase 679 2
increase 680 2
increase 681 2
increase 682 2
increase 683 2
increase 684 2
increase 685 2
increase 686 2
increase 687 2
increase 688 2
increase 689 2
increase 690 2
increase 691 2
increase 692 2
increase 693 2
increase 694 2
increase 695 2
increase 696 2
increase 697 2
increase 698 2
increase 699 2
increase 700 2
increase 701 2
increase 702 2
increase 703 2
increase 704 2
increase 705 2
increase 706 2
increase 707 2
increase 708 2
increase 709 2
increase 710 2
increase 711 2
increase 712 2
increase 713 2
increase 714 2
increase 715 2
increase 716 2
increase 717 2
increase 718 2
increase 719 2
increase 720 2
increase 721 2
increase 722 2
increase 723 2
increase 724 2
increase 725 2
increase 726 2
increase 727 2
increase 728 2
increase 729 2
increase 730 2
increase 731 2
increase 732 2
increase 733 2
increase 734 2
increase 735 2
increase 736 2
increase 737 2
increase 738 2
increase 739 2
increase 740 2
increase 741 2
increase 742 2
increase 743 2
increase 744 2
increase 745 2
increase 746 2
increase 747 2
increase 748 2
increase 749 2
increase 750 2
increase 751 2
increase 752 2
increase 753 2
increase 754 2
increase 755 2
increase 756 2
increase 757 2
increase 758 2
increase 759 2
increase 760 2
increase 761 2
increase 762 2
increase 763 2
increase 764 2
increase 765 2
increase 766 2
increase 767 2
increase 768 2
increase 769 2
increase 770 2
increase 771 2
increase 772 2
increase 773 2
increase 774 2
increase 775 2
increase 776 2
increase 777 2
increase 778 2
increase 779 2
increase 780 2
increase 781 2
increase 782 2
increase 783 2
increase 784 2
increase 785 2
increase 786 2
increase 787 2
increase 788 2
increase 789 2
increase 790 2
increase 791 2
increase 792 2
increase 793 2
increase 794 2
increase 795 2
increase 796 2
increase 797 2
