M/N WalkSAT DPLL
0.5 1 1
0.7 1 1
1 1 1
1.5 1 1
2.2 1 1
3.3 1 1
4.9 1 1
7.3 1 1
10.9 1 1
16.3 0.9 1
24.4 0.3 0.5
36.6 0.1 0.1
54.9 0 0
82.3 0 0
123.4 0 0
185.1 0 0
