0.5 0 0
0.7 0 100
1 0 100
1.5 0 200
2.2 20 200
3.3 20 300
4.9 140 400
7.3 320 900
10.9 440 1500
16.3 1840 2800
24.4 11560 9000
36.6 37000 34500
